 Id,ZipCode,Location,City,State,Population,AvgIncome,NationalRank 
181,98664,"45.621101, -122.577522",Vancouver,WA,20403,45909,7850
182,98257,"48.405670, -122.511898",La Conner,WA,3606,45870,7870
183,98047,"47.275498, -122.242843",Pacific,WA,5174,45505,8080
184,98345,"47.698622, -122.623850",Keyport,WA,403,45500,8089
185,98260,"48.033231, -122.453900",Langley,WA,4878,45469,8112
186,98674,"45.951267, -122.665541",Woodland,WA,9065,45452,8119
187,98601,"45.933373, -122.453150",Amboy,WA,2327,45380,8153
188,98392,"47.731451, -122.562941",Suquamish,WA,2362,45357,8172
189,98625,"46.019957, -122.758278",Kalama,WA,4483,45083,8330
190,98248,"48.865370, -122.622684",Ferndale,WA,18131,45050,8349
191,98250,"48.550909, -123.106186",Friday Harbor,WA,6894,45000,8374
192,98396,"47.116940, -122.026464",Wilkeson,WA,402,45000,8376
193,98503,"47.022088, -122.797280",Lacey,WA,32466,44902,8441
194,98611,"46.310160, -122.894657",Castle Rock,WA,8317,44897,8442
195,98506,"47.098985, -122.865598",Olympia,WA,17406,44775,8503
196,98118,"47.539965, -122.274722",Seattle,WA,40791,44697,8540
197,98366,"47.531483, -122.578693",Port Orchard,WA,31594,44692,8541
198,98406,"47.262231, -122.508756",Tacoma,WA,23511,44575,8603
199,98264,"48.950253, -122.459792",Lynden,WA,16795,44531,8634
200,98233,"48.500949, -122.345587",Burlington,WA,12521,44454,8672
201,98585,"46.568779, -122.501232",Silver Creek,WA,558,44375,8713
202,99003,"47.917122, -117.274929",Chattaroy,WA,4493,44345,8730
203,98349,"47.275684, -122.776773",Lakebay,WA,3875,44167,8817
204,98226,"48.749468, -122.444545",Bellingham,WA,56465,44100,8854
205,98498,"47.159792, -122.557823",Lakewood,WA,28894,43938,8928
206,98943,"47.184690, -120.964846",South Cle Elum,WA,470,43750,9033
207,98645,"46.329666, -122.779002",Silverlake,WA,1240,43450,9248
208,98528,"47.446368, -122.886829",Belfair,WA,7860,43375,9310
209,99218,"47.759546, -117.423770",Spokane,WA,13039,43320,9346
210,98665,"45.679743, -122.662995",Vancouver,WA,20631,43162,9440
211,98325,"47.969797, -122.785818",Chimacum,WA,1348,43140,9446
212,98853,"47.400025, -119.286995",Stratford,WA,56,43125,9464
213,98003,"47.307713, -122.315773",Federal Way,WA,42255,43027,9524
214,98221,"48.503236, -122.650373",Anacortes,WA,18771,42996,9552
215,98249,"48.026183, -122.551103",Freeland,WA,3690,42883,9629
216,98055,"47.461422, -122.211562",Renton,WA,26953,42758,9700
217,99027,"47.722182, -117.148006",Otis Orchards,WA,6506,42750,9705
218,98933,"46.407375, -120.648527",Harrah,WA,1199,42708,9729
219,98245,"48.665065, -122.931935",Eastsound,WA,3217,42633,9789
220,98576,"46.872078, -122.677144",Rainier,WA,3303,42420,9943
221,98125,"47.716889, -122.303205",Seattle,WA,34994,42400,9966
222,98262,"48.674357, -122.646705",Lummi Island,WA,812,42279,10051
223,98107,"47.668104, -122.377023",Seattle,WA,18516,42195,10138
224,98247,"48.908884, -122.310917",Everson,WA,8162,42191,10141
225,98588,"47.439540, -123.040239",Tahuya,WA,1599,42102,10233
226,98032,"47.391119, -122.259365",Kent,WA,28778,42042,10285
227,99322,"45.941486, -120.196954",Bickleton,WA,245,42031,10293
228,98936,"46.517388, -120.234792",Moxee,WA,3458,41984,10341
229,98579,"46.789675, -123.131803",Rochester,WA,9793,41961,10359
230,98277,"48.321710, -122.635612",Oak Harbor,WA,36676,41891,10406
231,98102,"47.634416, -122.321561",Seattle,WA,19424,41850,10457
232,98563,"47.095494, -123.590880",Montesano,WA,7380,41743,10546
233,98133,"47.740091, -122.342761",Seattle,WA,42896,41743,10547
234,98923,"46.666071, -120.717833",Cowiche,WA,1564,41694,10579
235,98670,"45.858198, -121.153060",Wahkiacus,WA,107,41667,10598
236,98802,"47.490631, -120.198813",East Wenatchee,WA,23179,41553,10684
237,99356,"45.845700, -120.283997",Roosevelt,WA,175,41250,10925
238,98536,"47.194976, -124.104372",Copalis Crossing,WA,257,41250,10926
239,98283,"48.731429, -121.472545",Rockport,WA,378,41250,10927
240,98286,"48.572745, -122.957430",Shaw Island,WA,235,41250,10928
241,98922,"47.195379, -120.945061",Cle Elum,WA,4597,41162,11019
242,98421,"47.257939, -122.401802",Tacoma,WA,603,41103,11060
243,98168,"47.490416, -122.300202",Seattle,WA,30198,41097,11067
244,98612,"46.212243, -123.320506",Cathlamet,WA,2551,41053,11105
245,98597,"46.862174, -122.507304",Yelm,WA,14356,41015,11137
246,98826,"47.677154, -120.930410",Leavenworth,WA,6586,40975,11182
247,98638,"46.394046, -123.761307",Naselle,WA,1370,40926,11230
248,98284,"48.533806, -122.093599",Sedro Woolley,WA,22940,40851,11295
249,98220,"48.688159, -122.215143",Acme,WA,648,40833,11310
250,98230,"48.949569, -122.717921",Blaine,WA,10743,40827,11322
251,98106,"47.546745, -122.349900",Seattle,WA,23317,40815,11333
252,98946,"47.079955, -120.763124",Thorp,WA,461,40804,11346
253,99020,"47.563277, -117.496954",Marshall,WA,51,40781,11370
254,98538,"46.482859, -123.100776",Curtis,WA,312,40750,11397
