RegionName,Date,State,Metro,County,City,SizeRank,Zri,YoY,ZriRecordCnt
99021,9/30/18,WA,Spokane-Spokane Valley,Spokane,Mead,9363,1493,-0.00731383,2682
98620,9/30/18,WA,,Klickitat,Goldendale,9397,1350,0.0546875,3192
99026,9/30/18,WA,Spokane-Spokane Valley,Stevens,Nine Mile Falls,9411,1499,-0.027255029,3767
98580,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Roy,9424,1845,0.055491991,2624
98922,9/30/18,WA,Ellensburg,Kittitas,Cle Elum,9429,1803,0.166990291,5159
98239,9/30/18,WA,Oak Harbor,Island,Coupeville,9534,1659,0.011585366,4009
98337,9/30/18,WA,Bremerton-Silverdale,Kitsap,Bremerton,9543,1400,0.065449011,2490
98563,9/30/18,WA,Aberdeen,Grays Harbor,Montesano,9579,1001,-0.087511395,2875
98329,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Gig Harbor,9666,1796,0.113453193,4067
99005,9/30/18,WA,Spokane-Spokane Valley,Spokane,Colbert,9699,1768,0.065060241,2993
98260,9/30/18,WA,Oak Harbor,Island,Langley,9783,1709,-0.002917153,3218
99022,9/30/18,WA,Spokane-Spokane Valley,Spokane,Medical Lake,9826,1329,0.011415525,2731
98629,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,La Center,9857,1948,-0.000513084,2552
98589,9/30/18,WA,Olympia-Tumwater,Thurston,Tenino,9861,1611,0.022208122,2574
98465,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Tacoma,9905,1791,0.028128588,2054
98236,9/30/18,WA,Oak Harbor,Island,Clinton,10126,1740,0.01635514,3399
98247,9/30/18,WA,Bellingham,Whatcom,Everson,10201,1499,-0.098616957,2296
98249,9/30/18,WA,Oak Harbor,Island,Freeland,10204,1725,0.000580046,3155
98388,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Steilacoom,10301,1838,0.040770102,2384
98625,9/30/18,WA,Longview,Cowlitz,Kalama,10365,1593,0.028405423,2106
98014,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Carnation,10421,2435,-0.027555911,2349
98815,9/30/18,WA,Wenatchee,Chelan,Cashmere,10463,1555,0.015676029,2032
98365,9/30/18,WA,,Jefferson,Port Ludlow,10490,1775,-0.006159015,3369
98640,9/30/18,WA,,Pacific,Ocean Park,10516,1322,-0.037144938,1235
98672,9/30/18,WA,,Klickitat,White Salmon,10532,1800,0.010668164,1968
99027,9/30/18,WA,Spokane-Spokane Valley,Spokane,Otis Orchards-East Farms,10560,1418,-0.047043011,1755
98577,9/30/18,WA,,Pacific,Raymond,10583,1281,0.086513995,1623
98294,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Sultan,10634,1738,0.006369427,2307
98596,9/30/18,WA,Centralia,Lewis,Winlock,10855,1249,0.115178571,1651
99001,9/30/18,WA,Spokane-Spokane Valley,Spokane,Airway Heights,10885,1199,0.011814346,1083
